,index,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
481,1692,Attacking Midfield,26,Enis Bardhi,0.16,0.11,0.05,0.11,0.11,0.21,0,0.19,0.11,0.06,0.17,1.71,0.27,15.60%,0.03,0.2,24.5,0.43,0.07,-0.03,-0.06,34.1,45.32,75.20%,671.85,184.22,14.75,17,86.80%,12.77,15.5,82.40%,5.72,10.1,56.60%,1.23,3.15,1.34,0.48,3.95,39.98,5.34,2.14,0.16,9.19,2.35,1.5,2.51,0.64,0.8,0.11,29.72,5.67,9.94,7.22,36.24,0.8,0.64,0.16,0.21,0.86,1.39,0.75,2.78,1.6,0.59,0.21,0.16,0.21,0,0.27,0.21,0.05,0,0,0,0,1.76,1.28,0.75,0.86,0.16,0.59,2.14,27.50%,1.55,17,4.92,28.90%,4.33,8.6,4.06,0.86,0.11,0,1.92,3.69,0.8,0,58.63,1.6,12.72,29.02,21.38,1.66,53.5,2.3,3.95,58.10%,2.51,0.27,40.46,186.2,99.99,4.65,1.55,0.21,1.82,2.41,47.35,39.82,84.10%,4.49,0,1.71,2.14,0.21,0,0,0,7.75,0.27,0.96,21.70%,€12.00
482,1693,Central Midfield,23,Enoch Mwepu,0.17,0,0.17,0,0,0.34,0,0.17,0.17,0.08,0.25,1.69,0.51,30.00%,0.1,0.33,22.3,0,0.1,0,0,31.53,42.54,74.10%,508.81,110.34,17.29,20.68,83.60%,11.02,13.73,80.20%,2.71,5.93,45.70%,0.68,2.37,1.19,0.17,3.05,41.69,0.85,0.34,0.17,10.51,1.02,1.19,0,0,0,0,30.34,5.76,6.44,4.75,34.07,2.37,0.51,0.17,0.17,1.02,2.03,2.71,2.71,2.2,0,0,0.17,0.34,0,0.17,0,0,0,0,0.17,0,4.24,1.53,0.85,2.71,0.68,1.36,3.9,34.80%,2.54,23.05,7.29,31.60%,5.93,10.68,6.44,2.88,0.17,0,1.36,5.59,1.19,0,57.12,2.88,11.53,31.69,17.46,2.71,56.61,0.34,0.85,40.00%,0.51,0,35.93,187.29,105.42,3.39,1.19,0,1.86,0.85,44.58,35.93,80.60%,3.22,0,3.05,1.02,0.17,0.17,0,0,9.83,1.02,2.88,26.10%,€20.00
483,1694,Right-Back,24,Enock Kwateng,0.04,0,0.04,0,0,0.27,0,0.03,0.03,0.05,0.08,0.31,0.13,42.90%,0.14,0.33,10.9,0,0.09,0.02,0.02,47.88,56.19,85.20%,823.04,360.22,23.67,25.73,92.00%,19.12,22.78,83.90%,4.38,6.34,69.00%,0.63,3.39,0.76,0.31,5.05,48.6,7.59,0.8,0.04,6.83,0.45,1.03,0,0,0,0,36.18,11.21,8.8,6.7,39.8,1.88,6.79,0.27,0,0.4,2.01,1.38,1.47,1.3,0.09,0.04,0,0.04,0,0.04,0.04,0,0,0,0,0,1.97,1.21,1.07,0.76,0.13,0.94,2.46,38.20%,1.52,8.98,3.13,34.80%,4.47,3.17,1.34,1.65,0.27,0,2.86,4.82,2.72,0,66.55,4.02,22.96,37.79,10.27,0.58,59.14,0.67,1.21,55.60%,0.67,0.09,40.91,192.37,124.26,5.05,1.34,0,0.71,0.71,43.5,40.78,93.70%,0.76,0,1.16,1.12,0.04,0,0,0,7.82,1.7,1.12,60.30%,€3.20
484,1695,Central Midfield,23,Enock Mwepu,0.17,0,0.17,0,0,0.34,0,0.17,0.17,0.08,0.25,1.69,0.51,30.00%,0.1,0.33,22.3,0,0.1,0,0,31.53,42.54,74.10%,508.81,110.34,17.29,20.68,83.60%,11.02,13.73,80.20%,2.71,5.93,45.70%,0.68,2.37,1.19,0.17,3.05,41.69,0.85,0.34,0.17,10.51,1.02,1.19,0,0,0,0,30.34,5.76,6.44,4.75,34.07,2.37,0.51,0.17,0.17,1.02,2.03,2.71,2.71,2.2,0,0,0.17,0.34,0,0.17,0,0,0,0,0.17,0,4.24,1.53,0.85,2.71,0.68,1.36,3.9,34.80%,2.54,23.05,7.29,31.60%,5.93,10.68,6.44,2.88,0.17,0,1.36,5.59,1.19,0,57.12,2.88,11.53,31.69,17.46,2.71,56.61,0.34,0.85,40.00%,0.51,0,35.93,187.29,105.42,3.39,1.19,0,1.86,0.85,44.58,35.93,80.60%,3.22,0,3.05,1.02,0.17,0.17,0,0,9.83,1.02,2.88,26.10%,€20.00
485,1711,Attacking Midfield,21,Enzo Le FÃ©e,0,0.24,0,0,0,0.12,0,0.07,0.07,0.18,0.24,1.61,0.39,24.40%,0,0,25.7,0.27,0.04,-0.07,-0.07,37.1,46.04,80.60%,711.89,184.47,16.42,18.02,91.10%,14.18,16.73,84.80%,5.56,9.36,59.40%,1.68,3.45,0.59,0.16,3.45,41.49,4.55,1.57,0.2,7.21,2.7,0.9,2.43,0.98,0.74,0.2,32.95,4.82,8.27,4.62,39.81,1.14,0.08,0.27,0.16,1.25,1.33,1.1,3.25,1.84,0.74,0.16,0.12,0.2,0.2,0.35,0.12,0.16,0,0.04,0.04,0,2.66,1.88,0.86,1.53,0.27,0.9,3.25,27.70%,2.35,24.29,5.99,24.70%,7.25,13.67,3.37,1.25,0.16,0,1.76,4.43,0.51,0,60.89,1.06,11.36,37.38,17.4,0.67,56.42,1.68,3.13,53.80%,1.76,0.04,41.18,229.88,125.11,6.07,2.27,0.12,2.23,2.47,49.02,40.94,83.50%,3.13,0,1.1,2.43,0.04,0,0,0,8.19,0.2,1.18,14.30%,€5.00
486,1714,Centre-Back,29,Enzo Roco,0.08,0,0.08,0,0,0.24,0,0.02,0.02,0.01,0.03,0.32,0.16,50.00%,0.25,0.5,11.1,0,0.08,0.06,0.06,34.44,39.13,88.00%,768.65,238.41,9.52,10.87,87.60%,18.02,18.81,95.80%,6.75,8.97,75.20%,0.08,1.51,0.08,0,1.27,36.98,2.14,2.14,0,3.89,1.27,0,0,0,0,0,27.7,4.92,6.51,5,29.68,2.7,0,0.48,0,0.63,0.56,0.71,0.16,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.56,0.79,0.4,0.08,0.32,1.19,26.70%,0.87,8.89,2.7,30.40%,5.79,2.86,0.24,1.67,0.95,0.08,1.83,3.1,5.16,0.24,48.97,8.73,30.24,20.4,0.95,0.48,46.9,0.08,0.16,50.00%,0.08,0,26.27,120.95,55,1.11,0.08,0,0.24,0.08,28.73,28.1,97.80%,0.24,0,1.19,0.16,0,0,0.08,0,7.54,2.86,1.43,66.70%,€1.50
487,1721,Centre-Back,27,Eric Dier,0,0,0,0,0,0.11,0,0.03,0.03,0.04,0.07,0.51,0.11,22.20%,0,0,19.1,0.25,0.07,-0.03,-0.03,50.29,58.13,86.50%,1106.26,387.25,14.47,15.57,92.90%,26.79,28.51,94.00%,8.86,13.31,66.50%,0.2,2.59,0.23,0,2.54,56.44,1.69,1.47,0.06,5.53,1.61,0.11,0,0,0,0,43.86,3.81,10.46,8.18,45.44,2.71,0.17,0.08,0.06,0.71,0.76,0.65,0.73,0.54,0,0,0.11,0,0.08,0.06,0.03,0,0,0.03,0,0,0.87,0.56,0.48,0.37,0.03,0.31,0.62,50.00%,0.31,5.89,1.66,28.20%,3.36,2.23,0.31,1.89,1.24,0.03,1.38,2.26,5.61,0,68.42,12.75,40.64,30.18,1.95,0.79,66.53,0.08,0.17,50.00%,0.11,0,42.53,237.79,135.44,2.2,0.31,0.06,0.2,0,48.68,47.64,97.90%,0.17,0,0.76,0.48,0,0,0.03,0.03,8.43,3.05,1.81,62.80%,€22.00
488,1722,Centre-Back,20,Eric GarcÃ­a,0,0,0,0,0,0.33,0.13,0.02,0.02,0.01,0.02,0.4,0.13,33.30%,0,0,16.9,0,0.05,-0.02,-0.02,68.62,73.31,93.60%,1472.13,443.07,18.54,19.53,94.90%,38.34,39.99,95.90%,11.55,13.26,87.10%,0.2,6.73,0.2,0,5.48,70.93,2.38,1.32,0,4.88,1.72,0,0,0,0,0,64.27,3.83,5.21,9.7,59.78,1.65,1.06,0.26,0,0.53,0.92,0.92,0.92,0.86,0,0,0.07,0,0,0,0,0,0,0,0,0,1.19,0.66,0.66,0.53,0,0.46,1.39,33.30%,0.92,11.74,3.7,31.50%,5.87,5.15,0.73,1.72,0.79,0,1.78,2.97,2.05,0.07,80.83,8.45,33.92,48.83,3.76,0.59,78.59,0.07,0.07,100.00%,0.07,0,58.46,333.48,198.41,5.81,0.99,0.07,0.26,0.07,65.06,64,98.40%,0.13,0.07,1.39,0.4,0.07,0,0,0,6.66,1.58,0.79,66.70%,€20.00
489,1725,Centre-Forward,32,Eric Maxim Choupo-Moting,0.85,0,0.85,0,0,0.17,0,0.49,0.49,0.13,0.62,2.71,1.95,71.90%,0.31,0.43,10.4,0,0.19,0.36,0.36,19.64,24.89,78.90%,268.98,47.58,12.62,14.65,86.10%,5.33,6.52,81.80%,0.85,1.19,71.40%,1.19,1.02,0.59,0,1.69,24.21,0.68,0,0.08,7.54,0,0.25,0,0,0,0,18.97,4.23,1.69,4.23,17.78,1.02,0.08,0.76,0.08,0.17,1.1,0.68,2.54,1.86,0,0.25,0.25,0.17,0,0.17,0,0,0,0.08,0.08,0,1.44,0.93,0.34,0.51,0.59,0.25,0.85,30.00%,0.59,16.09,4.91,30.50%,1.35,7.11,7.62,0.68,0,0,0.34,1.78,0.68,0,37.25,0.93,2.88,15.66,21,7.2,36.58,2.29,3.22,71.10%,2.46,0.17,27.26,110.57,50.8,3.05,0.85,0.93,2.46,1.95,45.8,27.43,59.90%,8.13,0,1.35,1.61,1.02,0,0,0,5.33,1.86,2.62,41.50%,€3.50
490,1730,Defensive Midfield,27,Erick Pulgar,0.05,0.18,0.05,0,0,0.41,0,0.04,0.04,0.11,0.15,0.78,0.23,29.40%,0.06,0.2,24.4,0.18,0.04,0.01,0.01,39.07,47.76,81.80%,784.67,218.79,14.3,16.13,88.60%,18.43,20.13,91.60%,5.79,9.88,58.60%,1.2,3.26,0.55,0.28,3.03,41.74,6.02,3.91,0,7.22,2.16,1.1,1.61,0.51,0.78,0.09,32.31,5.38,10.07,3.91,40.77,1.65,0.09,0.09,0.09,0.46,0.92,1.38,1.79,1.01,0.64,0.05,0.09,0,0,0.32,0.14,0.09,0,0.09,0,0,1.93,1.2,1.06,0.78,0.09,0.78,2.11,37.00%,1.33,13.88,4.18,30.10%,5.52,6.57,1.79,1.93,0.55,0,1.7,3.63,2.02,0.05,56.72,3.63,13.15,34.98,10.48,0.09,50.79,0.55,0.64,85.70%,0.6,0,32.13,137.21,56.54,2.25,0.51,0,0.51,0.46,33.92,32.27,95.10%,0.46,0,1.24,1.06,0,0,0.05,0,9.47,1.38,0.83,62.50%,€9.00
491,1731,Right-Back,29,Erik Durm,0.05,0.15,0.05,0,0,0.05,0,0.07,0.07,0.13,0.2,0.9,0.3,33.30%,0.06,0.17,20.5,0,0.08,-0.02,-0.02,33.27,47.1,70.60%,637.67,247.4,13.08,15.03,87.00%,15.58,20.35,76.60%,4.06,9.42,43.10%,0.7,1.95,0.9,0.35,3.36,37.18,9.92,0.25,0.1,6.31,1.2,2.36,0,0,0,0,24.25,10.27,12.58,8.67,26.11,1.5,9.67,0.25,0.25,1.15,1.3,1.35,1.55,1.15,0.05,0.1,0.25,0,0,0.35,0.15,0,0.05,0.15,0,0,1.75,1.1,0.65,0.85,0.25,1,2.41,41.70%,1.4,13.48,4.56,33.80%,4.11,5.86,3.51,1.65,0.3,0,1.4,3.16,1.95,0,56.73,2.71,14.93,29.27,16.24,1.65,46.95,0.5,0.85,58.80%,0.6,0.05,31.87,184.11,91.55,4.11,1.35,0.4,1.25,0.9,36.88,31.72,86.00%,2.61,0,0.6,0.85,0.05,0,0,0,7.72,1.3,1.35,49.10%,€2.50
492,1733,Right Winger,29,Ãrik Lamela,0.31,0.18,0.31,0,0,0.67,0.06,0.26,0.26,0.18,0.43,2.51,0.98,39.00%,0.12,0.31,16.8,0.06,0.1,0.05,0.05,38.02,45.92,82.80%,628.71,131.02,19.71,22.22,88.70%,13.84,15.98,86.60%,3.61,5.39,67.00%,1.47,1.9,1.71,0,4.35,43.16,2.76,0.98,0.31,10.35,1.22,1.35,1.35,0.98,0.06,0.06,35.57,5.33,5.02,41.14,3.49,0.73,0.12,0.06,0.12,0.43,1.59,1.47,3.49,2.33,0.31,0.31,0.18,0.31,0.06,0.43,0.24,0,0,0.12,0.06,0,3.06,2.02,1.04,1.59,0.43,0.67,1.84,36.70%,1.16,21.61,6.49,30.00%,4.29,11.08,6.24,1.59,0.12,0,0.61,3.67,0.24,0,61.29,0.55,7.65,31.35,28.04,4.22,58.84,2.2,3.43,64.30%,2.51,0.06,46.47,292.96,154.84,8.82,3.18,0.8,1.96,3.24,59.14,45.37,76.70%,7.9,0.06,2.88,2.33,0.24,0.06,0,0,6.73,0.61,1.84,25.00%,€20.00
493,1737,Left-Back,33,Erik Pieters,0,0.08,0,0,0,0.08,0,0.01,0.01,0.04,0.05,0.23,0.15,66.70%,0,0,22.4,0,0.04,-0.01,-0.01,31.68,42.49,74.60%,580.31,230.14,13.44,15.39,87.30%,13.44,15.84,84.80%,3.83,9.08,42.10%,0.38,2.48,0.3,0.08,2.4,33.7,8.78,0.38,0.08,5.48,1.13,1.2,0.45,0.45,0,0,20.87,10.28,11.33,28.6,2.48,2.7,7.96,0,0.23,1.28,0.53,2.4,1.05,0.75,0.08,0,0.08,0.15,0,0.23,0.08,0,0,0.08,0.08,0,3,2.1,2.03,0.75,0.23,1.5,3.45,43.50%,1.95,15.31,4.35,28.40%,7.13,6.61,1.58,3.15,0.75,0.08,0.98,3.98,2.93,0.08,54.2,5.03,17.79,27.92,11.48,0.53,45.56,0.3,0.45,66.70%,0.3,0,25.3,121.9,67.03,2.55,1.2,0.23,0.6,0.83,27.92,25.67,91.90%,0.75,0,1.95,1.28,0.08,0.08,0,0,8.63,1.2,0.98,55.20%,€1.50
494,1740,Centre-Forward,21,Erling Haaland,1.06,0.3,0.94,0.12,0.18,0.12,0,0.85,0.7,0.19,0.89,3.38,1.89,55.90%,0.28,0.5,12.7,0,0.21,0.22,0.24,14.36,19.87,72.30%,196.46,35.84,8.79,11.53,76.30%,3.96,5.36,73.90%,0.67,1.16,57.90%,1,0.52,0.82,0,1.55,18.07,1.8,0,0.09,5.08,0.24,0.61,0,0,0,0,13.14,4.26,2.46,13.33,3.59,1.16,0.12,0.37,0.21,0.3,0.97,0.37,2.56,1.67,0,0.37,0.3,0.18,0.03,0.7,0.4,0,0.18,0.09,0.03,0,0.37,0.33,0.09,0.15,0.12,0.03,0.24,12.50%,0.21,12.41,3.8,30.60%,0.37,3.47,8.58,0.61,0.24,0,0.33,0.7,1.19,0,31.58,1.49,2.34,13.48,17.4,7.33,29.6,0.91,1.67,54.50%,0.94,0.03,17.89,81.75,47.92,2.86,0.97,1.06,2.74,0.97,45,22.85,50.80%,8.31,0,0.94,1.1,0.43,0.03,0,0,3.32,1.98,1.52,56.50%,€150.00
495,1741,Centre-Forward,23,Ermedin DemiroviÄ,0.29,0.35,0.29,0,0,0.52,0,0.28,0.28,0.14,0.42,2.37,1.04,43.90%,0.12,0.28,13.4,0,0.12,0.01,0.01,9.27,15.81,58.60%,149.31,44.59,4.98,6.89,72.30%,3.01,5.68,53.10%,0.93,1.74,53.30%,0.7,0.81,0.75,0.17,1.68,15,0.81,0.06,0.12,5.68,0.17,0.64,0,0,0,0,9.5,3.59,2.72,0.7,11.87,1.16,0.06,0.29,0.06,0.35,0.52,1.74,1.97,1.16,0,0.17,0.23,0.35,0.06,0.7,0.41,0,0.06,0.12,0.06,0.06,1.04,0.64,0.35,0.29,0.41,0.06,1.1,5.30%,1.04,22.64,5.79,25.60%,2.32,9.9,10.42,1.97,0.23,0,0.35,1.39,1.22,0.06,30.52,1.33,3.59,12.74,16.04,4.75,29.71,0.93,1.62,57.10%,0.98,0,18.36,82.59,39.03,2.26,0.7,0.52,2.66,2.61,43.38,19.69,45.40%,6.49,0,3.3,1.39,0.46,0.06,0,0,4.17,2.43,5.5,30.70%,€9.00
496,1757,Centre-Back,21,Ethan Ampadu,0,0.08,0,0,0,0.31,0.04,0.01,0.01,0.06,0.07,0.19,0.08,40.00%,0,0,14.7,0,0.05,-0.01,-0.01,37.89,46.93,80.70%,760.67,246.52,13.34,15.63,85.40%,18.37,20.97,87.60%,5.79,8.96,64.70%,0.57,3.09,0.57,0.11,3.74,43.11,3.81,1.11,0.11,5.34,1.79,0.5,0.19,0.19,0,0,32.02,5.45,9.45,7.43,32.74,2.55,2.52,0.27,0.11,1.22,0.8,1.33,0.99,0.91,0.04,0,0,0.04,0,0.08,0.08,0,0,0,0,0,2.78,1.6,1.45,1.07,0.27,0.8,2.1,38.20%,1.3,15.93,4.19,26.30%,7.81,6.4,1.72,1.98,0.65,0,1.94,4.73,4.38,0.08,58.97,5.68,24.02,29.92,9.11,0.34,55.43,0.34,0.53,64.30%,0.38,0,32.17,196.2,115.81,4.08,1.41,0.04,0.53,0.65,35.64,33.93,95.20%,0.42,0,1.79,1.22,0,0,0.04,0.04,9.45,2.52,1.11,69.50%,€15.00
497,1758,Centre-Back,28,Ethan Pinnock,0.07,0.07,0.07,0,0,0,0,0.07,0.07,0.07,0.14,0.64,0.36,55.60%,0.11,0.2,8.3,0,0.11,0,0,42.74,54.56,78.30%,869.43,305.37,14.25,16.4,86.90%,21.69,26.21,82.80%,6.44,10.95,58.80%,0.57,2.22,0.36,0.14,1.93,45.47,9.09,1.79,0,6.37,0.86,1.07,0,0,0,0,30.36,9.16,15.04,36.16,3.44,4.8,7.23,0.14,0.29,0.5,1.15,0.86,0.79,0.79,0,0,0,0,0,0.07,0.07,0,0,0,0,0,1.79,1.22,1.29,0.43,0.07,0.57,1.15,50.00%,0.57,7.95,2.94,36.90%,4.73,2.79,0.43,1.15,0.29,0,2.08,3.87,5.58,0,66.09,9.74,36.01,25.2,7.73,2.43,57.35,0.07,0.07,100.00%,0.07,0,28.85,165.61,86.49,1.15,0.36,0,0.57,0.29,35.08,33.94,96.70%,0.36,0,0.14,0.5,0,0,0,0,11.03,4.87,2.51,66.00%,€7.00
498,1759,Defensive Midfield,33,Ãtienne Capoue,0.08,0.03,0.08,0,0,0.36,0.05,0.05,0.05,0.02,0.07,0.52,0.21,40.00%,0.15,0.38,16.7,0,0.11,0.03,0.03,48.56,53.98,90.00%,896.28,206.46,20.14,21.74,92.60%,22.62,24.58,92.00%,5.29,6.64,79.80%,0.23,4.57,0.31,0.03,3.64,52.77,1.21,1.16,0.05,8.06,1.19,0.05,0,0,0,0,44.77,4.13,5.09,8.73,41.95,1.86,0.05,0.13,0.18,0.34,1.11,0.9,0.9,0.59,0,0.08,0.03,0.1,0.1,0.03,0,0,0,0.03,0,0,1.86,1.19,0.93,0.77,0.15,0.65,1.81,35.70%,1.16,15.34,4.7,30.60%,6.48,7.38,1.47,1.11,0.21,0,1.81,3.67,2.56,0.03,64.21,3.61,17.58,42.83,7.38,0.44,63.15,0.9,1.42,63.60%,0.93,0.13,42.7,216.61,96.61,3.69,0.93,0.03,0.75,0.62,48.07,45.77,95.20%,0.65,0.03,1.99,2.04,0,0,0.05,0,9.14,2.09,1.01,67.50%,€2.00
499,1777,Central Midfield,23,Exequiel Palacios,0.07,0.07,0.07,0,0,0.22,0,0.02,0.02,0.14,0.17,0.29,0.07,25.00%,0.25,1,22.8,0,0.07,0.05,0.05,59.28,68,87.20%,1054.83,283.41,28.7,31.08,92.30%,21.56,24.74,87.20%,8.08,10.24,78.90%,0.94,5.12,0.72,0,5.12,65.84,2.16,1.66,0.29,12.48,2.02,0.22,0.07,0,0,0,54.09,7.43,6.49,7.07,58.99,1.15,0.36,0.22,0.22,0.5,2.31,2.16,2.31,2.02,0,0.14,0,0.07,0.07,0.43,0.36,0,0,0,0,0.07,3.97,2.31,1.88,1.8,0.29,1.37,3.53,38.80%,2.16,22.79,7.36,32.30%,8.22,12.4,2.16,2.31,0.14,0,3.61,7.57,1.08,0.14,80.34,2.81,23.08,49.69,11.97,0.36,78.39,0.65,0.87,75.00%,0.65,0,56.9,204.16,100.82,2.88,0.94,0,0.65,1.3,57.19,54.59,95.50%,1.23,0,1.51,2.09,0,0,0,0,11.9,0.43,0.79,35.30%,€15.00
500,1778,Centre-Forward,27,Ezequiel Ãvila,0.23,0,0.23,0,0,0.23,0,0.24,0.24,0.07,0.31,3.1,1.15,37.00%,0.07,0.2,22.9,0,0.08,-0.01,-0.01,12.5,20.98,59.60%,235.95,52.05,5.85,9.17,63.80%,4.7,6.76,69.50%,1.83,3.44,53.30%,0.57,1.38,0.69,0.23,1.38,20.18,0.8,0,0,4.59,1.26,1.15,0.11,0,0,0,7.8,7.68,5.5,4.13,10.32,3.67,0.11,1.26,0.11,0.69,1.15,1.26,1.72,1.15,0,0,0.11,0.34,0.11,0.34,0.11,0,0,0,0.11,0.11,0.69,0.46,0.23,0.23,0.23,0.34,0.8,42.90%,0.46,13.18,3.9,29.60%,1.26,5.16,6.76,1.49,0.23,0,0.92,1.61,0.46,0,33.48,0.34,2.52,14.56,18.57,3.44,32.68,0.11,1.15,10.00%,0.46,0,17.77,102.04,44.83,1.95,0.92,0.34,2.29,1.26,49.18,23.73,48.30%,5.27,0,1.15,1.83,0.92,0,0,0,4.7,1.95,5.39,26.60%,€9.00
501,1783,Left-Back,29,Ezgjan Alioski,0.09,0.14,0.09,0,0,0.32,0,0.06,0.06,0.1,0.15,0.83,0.23,27.80%,0.11,0.4,17.9,0,0.06,0.04,0.04,47.16,58.99,80.00%,818.7,315.64,22.55,25.26,89.30%,20.52,23.79,86.30%,3.73,7.59,49.10%,0.92,2.67,1.33,0.51,4.14,49,9.98,1.1,0.09,5.84,0.87,2.16,0,0,0,0,34.88,15.28,8.83,41.96,4.33,2.9,8.88,0,0.18,1.15,1.66,1.47,2.12,1.75,0.14,0,0.14,0.09,0,0.28,0.18,0.05,0,0.05,0,0,3.08,1.61,1.7,1.15,0.23,1.2,3.04,39.40%,1.84,20.34,5.66,27.80%,9.57,8.1,2.67,1.56,0.09,0,1.2,4.28,2.58,0,70.03,3.08,23.79,32.35,18.73,1.33,60.46,0.6,1.06,56.50%,0.64,0.32,38.93,204.66,127.64,4.65,1.75,0.14,0.83,0.78,47.12,42.56,90.30%,1.98,0,1.79,1.66,0.18,0,0.09,0,8.42,1.61,1.52,51.50%,€5.00
502,1784,Centre-Back,24,Ezri Konsa,0.05,0,0.05,0,0,0.1,0.03,0.07,0.07,0.01,0.08,0.67,0.22,33.30%,0.07,0.22,7.6,0,0.11,-0.02,-0.02,29.7,34.6,85.80%,648.01,182.77,7.44,8.32,89.50%,16.79,18.11,92.70%,5.2,7.54,68.90%,0.1,1.25,0.03,0,1.2,32.97,1.62,1.15,0.03,3.97,0.75,0.05,0,0,0,0,25.35,3.25,6,3.82,27.33,1.72,0.45,0.17,0,0.77,0.5,0.7,0.25,0.22,0,0,0.03,0,0,0,0,0,0,0,0,0,1,0.7,0.6,0.35,0.05,0.27,0.55,50.00%,0.27,6.49,2.22,34.20%,3.6,2.5,0.4,2.02,1.32,0,1.17,2.17,4.55,0,44.64,9.02,25.95,17.79,2.55,1.25,43.26,0.22,0.32,69.20%,0.22,0,25.03,96.14,41.37,0.67,0.12,0,0.27,0.17,27.75,26.25,94.60%,0.22,0,0.62,1.27,0,0,0.03,0,7.27,2.37,1.65,59.00%,€25.00
503,1791,Centre-Forward,34,Fabian Klos,0.22,0.06,0.12,0.09,0.12,0.09,0,0.34,0.25,0.12,0.36,2.24,0.78,34.70%,0.06,0.16,14.9,0,0.11,-0.12,-0.12,15.74,28.58,55.10%,248.08,69.23,8.83,13.5,65.40%,4.94,9.86,50.20%,1.34,3.05,43.90%,1.03,1.87,0.65,0.09,2.71,27.49,1.09,0.06,0.06,11.76,0.75,1.09,0.03,0,0,0,10.39,9.3,8.89,3.02,13.37,4.38,0.16,0.81,0.25,0.84,1.21,0.56,1.93,1.55,0,0.09,0.16,0.09,0.03,0.16,0.12,0,0.03,0,0,0,0.75,0.31,0.28,0.31,0.16,0.22,1.06,20.60%,0.84,17.01,4.7,27.60%,1.59,8.33,7.09,0.72,0.16,0.03,0.47,1.21,1.28,0,39.71,1.43,3.51,19.25,18.38,5.01,38.5,0.47,0.9,51.70%,0.47,0,17.17,69.16,29.08,1.8,0.34,0.31,2.61,1.31,54.55,29.64,54.30%,5.69,0,1.87,1.55,0.31,0,0,0,4.88,8.15,7.74,51.30%,"€800Th. Last update: Jun 9, 2021"
504,1792,Defensive Midfield,23,Fabian Kunze,0,0,0,0,0,0.43,0,0.02,0.02,0.03,0.04,0.53,0.05,10.00%,0,0,22,0,0.03,-0.02,-0.02,27.5,36.7,74.90%,497.82,124.2,11.81,14.63,80.70%,12.02,15.16,79.30%,3.03,5.21,58.20%,0.37,2.77,0.27,0.11,3.03,36.01,0.69,0.48,0,8.09,0.48,0.37,0,0,0,0,22.34,6.86,7.5,3.24,27.07,3.35,0.21,0.11,0.05,0.8,1.01,2.02,0.96,0.8,0,0.05,0,0.11,0,0,0,0,0,0,0,0,2.55,1.54,1.01,1.38,0.16,0.9,2.61,34.70%,1.7,21.44,5.05,23.60%,6.81,12.39,2.23,2.13,0.11,0,1.28,3.83,2.07,0,48.51,2.61,12.87,29.68,8.67,0.37,48.03,1.06,1.49,71.40%,1.06,0.11,25.74,117.77,62.23,2.02,0.9,0.05,0.53,1.33,28.51,25.16,88.20%,1.38,0,2.98,2.02,0,0,0,0,13.51,3.51,1.06,76.70%,€1.00
