,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
3783,Mads Pedersen,0.06,0.00,0.06,0.00,0.00,0.12,0.00,0.02,0.02,0.09,0.11,0.55,0.18,33.3%,0.11,0.33,19.90,0.00,0.04,+0.04,+0.04,26.16,38.54,67.9%,495.33,213.92,11.71,13.35,87.7%,10.56,14.63,72.2%,3.52,8.62,40.8%,1.21,1.40,0.67,0.12,2.49,28.28,10.26,1.21,0.00,7.46,1.52,1.34,1.09,0.30,0.73,0.00,18.27,8.50,11.77,23.85,4.43,1.46,7.95,0.36,0.30,1.03,1.46,1.82,1.76,0.85,0.55,0.06,0.06,0.24,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,2.37,1.34,1.76,0.55,0.06,1.09,2.61,41.9%,1.52,17.84,4.79,26.9%,10.01,5.46,2.37,2.12,0.30,0.12,2.12,4.49,2.06,0.00,50.92,3.40,20.51,20.21,13.41,1.34,40.90,1.15,2.12,54.3%,1.15,0.18,26.34,150.14,89.82,2.85,1.15,0.42,1.27,0.91,26.88,22.70,84.4%,1.64,0.00,1.70,1.52,0.00,0.06,0.06,0.00,8.31,0.73,1.52,32.4%,€1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3784,Mads Roerslev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3785,Maduka Okoye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3786,Maghnes Akliouche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3787,Magnus Warming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3788,Mahamadou DoucourÃ©,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: Oct 27, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3789,Mahame Siby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Jun 4, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,Mahdi Camara,0.03,0.05,0.03,0.00,0.00,0.21,0.00,0.06,0.06,0.06,0.13,0.64,0.26,40.0%,0.04,0.10,19.60,0.00,0.10,-0.04,-0.04,42.65,49.19,86.7%,737.35,199.25,19.81,21.76,91.0%,17.51,19.43,90.1%,3.97,5.61,70.8%,0.95,3.41,0.72,0.31,2.97,45.83,3.36,0.72,0.03,6.82,1.08,0.95,0.05,0.05,0.00,0.00,37.58,5.97,5.64,1.41,42.58,1.82,2.44,0.15,0.08,0.72,1.28,1.54,2.33,1.77,0.15,0.18,0.05,0.10,0.08,0.13,0.08,0.00,0.05,0.00,0.00,0.00,2.90,1.90,1.15,1.49,0.26,0.62,1.51,40.7%,0.90,18.35,5.28,28.8%,5.92,9.05,3.38,2.00,0.46,0.00,1.82,4.72,1.79,0.05,60.98,2.46,17.02,37.07,11.69,0.97,57.73,0.90,1.54,58.3%,1.03,0.03,40.37,230.93,123.30,5.25,1.56,0.15,0.72,1.10,42.63,39.32,92.2%,1.13,0.00,1.38,1.03,0.00,0.00,0.00,0.00,8.51,1.15,0.92,55.6%,€6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3791,Mahdi Talal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€250Th. Last update: Jun 25, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3792,Mahmoud Dahoud,0.08,0.12,0.08,0.00,0.00,0.25,0.04,0.06,0.06,0.17,0.23,1.45,0.46,31.4%,0.06,0.18,23.50,0.08,0.04,+0.02,+0.02,46.94,56.91,82.5%,939.25,228.93,16.88,19.52,86.4%,21.14,23.70,89.2%,7.78,11.00,70.7%,1.16,4.59,1.12,0.12,4.80,55.71,1.20,0.70,0.25,9.55,1.82,0.50,0.41,0.08,0.17,0.04,45.46,4.26,7.20,6.87,47.52,1.70,0.04,0.29,0.17,1.16,1.53,1.82,2.98,2.27,0.17,0.21,0.21,0.08,0.04,0.50,0.33,0.04,0.00,0.04,0.04,0.04,2.61,1.78,0.87,1.45,0.29,0.87,2.36,36.8%,1.49,19.03,5.96,31.3%,5.96,10.17,2.90,2.11,0.29,0.00,1.49,4.09,1.28,0.00,67.62,2.73,16.71,39.21,16.75,1.24,66.42,1.49,1.90,78.3%,1.53,0.00,48.97,237.78,110.39,4.72,1.49,0.25,1.16,1.08,51.08,46.94,91.9%,2.85,0.04,1.74,1.12,0.04,0.04,0.04,0.00,10.80,0.74,0.95,43.9%,€18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
