,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
0,Aaron Connolly,0.19,0.00,0.19,0.00,0.00,0.00,0.00,0.54,0.54,0.08,0.61,3.06,0.96,31.3%,0.06,0.20,13.40,0.00,0.17,-0.34,-0.34,8.23,10.53,78.2%,113.94,8.81,5.17,6.70,77.1%,2.68,3.06,87.5%,0.19,0.19,100.0%,0.57,0.00,0.00,0.00,0.00,9.77,0.77,0.00,0.00,1.91,0.00,0.19,0.00,0.00,0.00,0.00,6.70,2.49,1.34,1.53,7.47,0.38,0.00,0.57,0.00,0.00,0.38,1.72,1.15,0.96,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.57,0.38,0.38,0.19,0.00,0.57,0.0%,0.57,13.40,4.21,31.4%,0.77,6.51,6.13,1.91,0.19,0.00,0.00,0.96,0.19,0.00,22.40,0.19,1.91,9.00,13.02,4.40,21.64,0.38,0.57,66.7%,0.38,0.00,11.87,71.81,41.94,2.30,0.96,0.57,2.49,0.96,40.98,15.13,36.9%,6.70,0.00,0.38,2.30,0.19,0.00,0.00,0.00,2.87,0.96,3.26,22.7%,€7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aaron Cresswell,0.02,0.20,0.02,0.00,0.00,0.07,0.00,0.03,0.03,0.16,0.20,0.62,0.10,16.0%,0.04,0.25,22.80,0.32,0.05,-0.01,-0.01,49.11,63.91,76.8%,929.47,423.76,21.52,23.98,89.7%,20.24,23.80,85.0%,6.67,13.81,48.3%,1.67,4.11,0.96,0.37,4.68,50.71,13.19,2.26,0.02,5.49,1.87,2.41,2.56,0.89,1.48,0.07,36.11,12.06,15.73,49.41,3.77,1.38,8.37,0.17,0.44,1.06,1.77,1.01,2.58,1.26,1.13,0.02,0.12,0.05,0.00,0.39,0.12,0.20,0.00,0.05,0.02,0.00,0.89,0.44,0.44,0.39,0.05,0.37,0.89,41.7%,0.52,6.35,2.14,33.7%,3.27,2.46,0.62,1.43,0.42,0.00,1.21,2.09,2.49,0.00,71.27,4.28,21.29,32.42,21.64,0.76,58.05,0.15,0.44,33.3%,0.15,0.00,40.64,185.56,94.16,3.64,1.62,0.12,0.27,0.32,44.43,42.61,95.9%,1.06,0.00,0.52,0.44,0.02,0.00,0.00,0.00,8.49,1.16,0.69,62.7%,€5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AarÃ³n Escandell,,,,,0.22,,,,,,,,,,,,,,,,,,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,1.53,4.26,2.95,69.2%,0.11,0.44,0.44,0.33,33.3%,0.22,0.00,0.00,0.0%,0.00,0.00,0.00,1.54,0.35,+0.01,9.83,24.58,40.0%,3.06,69.4%,49.7,8.63,81.0%,59.2,8.85,0.66,7.4%,2.29,16.8
3,Aaron Herzog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€175Th. Last update: Oct 11, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Aaron Hickey,0.21,0.00,0.21,0.00,0.00,0.28,0.07,0.03,0.03,0.02,0.05,0.77,0.42,54.5%,0.27,0.50,23.60,0.00,0.03,+0.18,+0.18,37.27,44.37,84.0%,597.47,155.69,19.02,20.69,91.9%,15.33,18.18,84.3%,2.37,4.18,56.7%,0.49,1.18,0.28,0.07,1.81,35.67,8.71,0.98,0.00,6.76,0.42,1.18,0.00,0.00,0.00,0.00,30.65,8.50,5.22,22.15,13.24,1.04,7.73,0.07,0.14,0.42,0.91,1.74,1.04,0.91,0.07,0.00,0.00,0.07,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,1.46,0.77,0.84,0.49,0.14,0.56,0.91,61.5%,0.35,13.37,3.69,27.6%,6.41,4.32,2.65,2.30,0.56,0.00,1.04,2.51,1.60,0.00,55.10,3.07,17.69,24.80,16.02,0.84,46.74,1.32,2.09,63.3%,1.53,0.07,35.94,196.58,106.93,4.74,0.91,0.35,0.91,0.84,37.89,33.37,88.1%,2.51,0.00,1.32,2.23,0.00,0.00,0.00,0.00,5.99,0.63,0.84,42.9%,€8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Aaron Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€250Th. Last update: Oct 28, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aaron Kamardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Oct 15, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Aaron Lennon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Aaron Leya Iseka,0.31,0.00,0.21,0.10,0.21,0.42,0.00,0.35,0.20,0.07,0.27,1.56,0.52,33.3%,0.13,0.40,15.10,0.00,0.13,-0.04,+0.01,13.53,17.90,75.6%,207.57,34.65,7.70,9.36,82.2%,3.95,5.41,73.1%,1.25,1.66,75.0%,1.14,1.04,0.31,0.00,0.94,17.48,0.42,0.00,0.31,5.51,0.21,0.31,0.00,0.00,0.00,0.00,11.65,3.23,3.02,1.66,12.80,0.94,0.00,0.52,0.10,0.42,0.52,0.21,1.77,1.25,0.00,0.21,0.00,0.31,0.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.73,0.42,0.31,0.21,0.21,0.21,0.94,22.2%,0.73,9.57,2.29,23.9%,0.31,4.27,4.99,0.52,0.31,0.00,0.21,0.94,0.42,0.00,29.13,1.14,3.33,16.65,11.45,2.71,28.51,1.04,1.98,52.6%,1.25,0.00,18.94,77.62,37.98,2.81,1.14,0.83,3.23,1.98,48.90,23.10,47.2%,5.51,0.00,2.39,1.14,0.21,0.00,0.00,0.00,3.12,2.60,3.43,43.1%,€2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AarÃ³n MartÃ­n,0.00,0.11,0.00,0.00,0.00,0.11,0.00,0.02,0.02,0.10,0.11,0.54,0.07,13.3%,0.00,0.00,23.10,0.04,0.03,-0.02,-0.02,37.26,48.72,76.5%,656.88,231.19,17.70,19.59,90.4%,14.69,18.07,81.3%,4.06,9.29,43.8%,1.02,1.96,0.65,0.44,2.50,38.31,10.41,1.20,0.07,4.46,1.02,2.72,1.49,0.65,0.69,0.00,27.57,9.94,11.21,37.15,2.87,0.69,7.73,0.04,0.07,0.65,1.31,1.27,1.38,0.73,0.51,0.00,0.07,0.04,0.04,0.15,0.11,0.04,0.00,0.00,0.00,0.00,2.03,0.87,1.05,0.83,0.15,0.73,1.96,37.0%,1.23,12.33,3.37,27.4%,4.82,5.95,1.56,1.45,0.18,0.00,1.09,3.12,2.47,0.00,57.97,2.47,16.51,27.57,16.61,0.87,47.63,0.87,1.38,63.2%,0.91,0.00,34.28,147.24,77.56,3.74,1.20,0.15,0.54,0.62,37.76,33.45,88.6%,1.89,0.00,1.38,0.76,0.11,0.00,0.00,0.00,6.35,0.73,1.27,36.4%,€4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Aaron Mooy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aaron Ramsdale,,,,,0.10,,,,,,,,,,,,,,,,,,24.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€20.00,1.49,5.13,3.67,73.0%,0.36,0.08,0.56,0.28,28.2%,0.10,0.00,0.00,0.0%,0.00,0.10,0.08,1.44,0.27,+0.03,6.97,20.41,34.2%,4.10,58.5%,46.7,6.92,84.8%,64.8,8.28,0.82,9.9%,0.56,15.1
12,Aaron Ramsey,0.20,0.29,0.20,0.00,0.00,0.29,0.00,0.50,0.50,0.27,0.77,2.34,0.98,41.7%,0.08,0.20,13.50,0.00,0.21,-0.30,-0.30,53.30,60.81,87.6%,953.59,202.84,24.40,27.33,89.3%,21.57,24.21,89.1%,6.64,7.91,84.0%,2.25,4.69,1.76,0.29,4.10,58.76,2.05,0.98,0.10,9.27,1.46,1.56,0.49,0.10,0.39,0.00,47.64,6.54,6.64,13.96,44.32,1.37,0.29,0.29,0.10,0.29,1.66,0.39,3.90,2.93,0.49,0.20,0.10,0.10,0.10,0.49,0.29,0.00,0.00,0.00,0.10,0.10,1.37,0.68,0.29,0.88,0.20,0.29,1.95,15.0%,1.66,14.35,3.71,25.9%,3.22,7.61,3.51,0.68,0.29,0.00,0.68,2.05,0.98,0.10,70.09,1.95,11.42,37.00,26.65,4.59,68.33,1.07,1.66,64.7%,1.07,0.10,53.39,287.28,129.92,6.64,1.66,0.78,1.46,0.59,66.96,57.69,86.2%,6.74,0.00,2.44,1.56,0.10,0.10,0.00,0.00,6.15,0.78,0.88,47.1%,€10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aaron Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Aaron Rowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Nov 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Aaron Wan-Bissaka,0.02,0.10,0.02,0.00,0.00,0.14,0.02,0.02,0.02,0.06,0.07,0.20,0.08,40.0%,0.10,0.25,15.40,0.00,0.08,0.00,0.00,51.77,60.28,85.9%,797.24,269.84,28.98,31.38,92.4%,19.24,22.02,87.4%,2.54,4.48,56.6%,0.71,2.44,0.83,0.40,3.33,51.75,8.53,0.67,0.02,6.33,0.61,1.71,0.00,0.00,0.00,0.00,44.14,10.69,5.46,2.68,47.83,1.31,7.86,0.14,0.12,0.42,1.67,2.24,1.51,1.25,0.04,0.08,0.04,0.02,0.08,0.16,0.14,0.00,0.00,0.02,0.00,0.00,2.52,1.41,1.43,0.73,0.36,0.42,0.93,44.7%,0.52,12.18,3.81,31.3%,5.34,4.68,2.16,2.76,0.52,0.02,2.20,4.72,2.98,0.00,72.44,3.87,23.78,33.17,20.53,1.07,64.09,1.53,2.32,65.8%,1.59,0.12,46.36,241.81,141.62,5.91,2.10,0.14,0.58,0.81,48.26,44.81,92.8%,2.16,0.00,0.89,0.71,0.02,0.00,0.02,0.00,7.58,1.03,1.01,50.5%,€40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Abdallah Ali Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€75Th. Last update: Jun 30, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Abdallah N'dour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€600Th. Last update: Jun 25, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Abdallahi Mahmoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Abdel Jalil Medioub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€350Th. Last update: May 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Abdel Malik Hsissane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Jun 25, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Abdelhamid Sabiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Abdelkabir Abqar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AbdÃ³n Prats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Abdou Diallo,0.00,0.09,0.00,0.00,0.00,0.09,0.00,0.01,0.01,0.05,0.07,0.19,0.05,25.0%,0.00,0.00,10.50,0.00,0.08,-0.01,-0.01,60.08,67.25,89.3%,1020.81,391.89,29.97,31.66,94.7%,24.34,26.64,91.4%,5.07,7.60,66.7%,0.28,3.42,0.66,0.23,4.69,60.17,7.08,1.45,0.09,6.14,1.17,1.27,0.00,0.00,0.00,0.00,52.67,8.44,6.14,52.86,6.75,1.27,5.63,0.09,0.05,0.61,1.55,1.36,0.52,0.47,0.00,0.05,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,2.20,1.45,1.13,0.70,0.38,0.84,1.64,51.4%,0.80,11.12,3.66,32.9%,4.36,4.92,1.83,1.78,0.42,0.00,1.64,3.85,2.20,0.05,77.15,5.77,26.73,41.32,14.54,0.70,70.16,1.59,2.63,60.7%,1.78,0.00,54.26,254.99,149.33,4.92,1.69,0.14,0.89,0.70,55.72,53.79,96.5%,0.98,0.00,1.41,0.28,0.05,0.00,0.00,0.00,7.27,1.13,0.52,68.6%,€25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Abdou Harroui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Abdou Lahat Diakhate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€50Th. Last update: Jun 8, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Abdoul Bane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€50Th. Last update: Jun 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Abdoul Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Abdoul Kader Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Abdoulay Diaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Abdoulaye Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€500Th. Last update: May 22, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Abdoulaye Bakayoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Mar 9, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Abdoulaye Bamba,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.12,0.12,0.00,0.00,,,,,0.00,,0.00,0.00,37.26,53.53,69.6%,653.88,346.36,18.89,21.65,87.3%,14.56,20.86,69.8%,3.54,8.66,40.9%,0.66,2.23,0.66,0.66,3.28,39.62,13.91,0.79,0.00,6.69,0.13,2.49,0.00,0.00,0.00,0.00,28.47,10.23,14.83,1.84,36.21,1.84,13.12,0.00,0.00,1.18,2.10,1.05,0.92,0.66,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,1.18,1.18,0.79,0.13,0.79,1.31,60.0%,0.52,11.68,4.20,36.0%,6.17,3.80,1.71,1.18,0.13,0.00,1.84,3.94,3.67,0.00,62.06,2.89,19.94,31.49,12.86,0.52,48.28,0.26,0.92,28.6%,0.52,0.13,33.19,135.00,65.60,1.84,0.92,0.26,0.39,0.26,35.42,31.62,89.3%,1.31,0.00,1.31,0.66,0.00,0.00,0.00,0.00,7.87,0.79,0.52,60.0%,€1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Abdoulaye Dabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€650Th. Last update: Jun 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Abdoulaye Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Abdoulaye DoucourÃ©,0.11,0.21,0.11,0.00,0.00,0.21,0.00,0.09,0.09,0.08,0.17,1.00,0.25,25.0%,0.11,0.43,16.80,0.00,0.09,+0.02,+0.02,35.68,42.91,83.1%,634.67,133.98,16.18,19.00,85.2%,14.86,16.79,88.5%,3.74,4.92,76.1%,0.64,2.74,0.78,0.07,3.03,42.52,0.39,0.36,0.14,8.09,0.57,0.32,0.04,0.00,0.00,0.00,32.54,5.88,4.49,5.20,34.15,2.32,0.00,0.11,0.11,0.36,1.50,1.25,1.96,1.71,0.04,0.04,0.07,0.00,0.11,0.32,0.29,0.00,0.04,0.00,0.00,0.00,2.03,1.25,1.00,0.89,0.14,0.82,1.92,42.6%,1.11,20.57,5.74,27.9%,8.66,8.13,3.78,1.46,0.21,0.00,1.60,3.64,1.46,0.04,52.47,2.74,15.04,28.44,12.76,1.60,52.18,0.82,1.43,57.5%,0.86,0.07,32.44,167.56,89.54,3.21,1.43,0.18,1.03,0.93,37.71,32.44,86.0%,2.74,0.00,1.57,0.75,0.04,0.00,0.00,0.00,11.83,1.50,1.14,56.8%,€25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Abdoulaye Niakhate Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€50Th. Last update: May 23, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Abdoulaye Ousmane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Mar 9, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Abdoulaye SidibÃ©,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Oct 15, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Abdoulaye Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Mar 9, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
