,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
987,Foward,22,Kylian Mbapp̩,0.75,0.35,0.64,0.11,0.13,0.2,0,0.71,0.61,0.23,0.84,3.39,1.46,0.431,0.19,0.44,15.5,0.09,0.18,0.04,0.04,29.12,37.1,0.785,417.49,79.51,18.39,21.73,0.846,8.01,9.94,0.806,1.66,2.84,0.586,1.6,1.22,1.22,0.2,2.17,34.69,2.42,0.22,0.11,6.21,0.82,2.48,0.87,0.27,0.13,0,30.63,3.79,2.68,6.39,29.67,0.31,0.47,0.13,0.09,0.51,2.08,0.24,3.84,2.59,0.09,0.62,0.2,0.24,0.09,0.87,0.51,0.02,0.16,0.04,0.11,0.02,0.4,0.29,0.11,0.11,0.18,0.13,0.53,0.25,0.4,7.94,2.15,0.271,0.58,2.4,4.97,0.27,0.02,0,0.42,0.82,0.44,0.02,51.63,0.51,2.77,19.05,34.8,9.29,49.1,3.08,6.1,0.505,3.33,0.42,41.92,227.66,153.01,8.8,2.82,2.35,3.02,2.22,58.8,42.78,0.728,11.33,0,0.8,1.66,0.98,0.07,0,0,3.93,0.27,0.51,0.343,160
494,Foward,21,Erling Haaland,1.06,0.3,0.94,0.12,0.18,0.12,0,0.85,0.7,0.19,0.89,3.38,1.89,0.559,0.28,0.5,12.7,0,0.21,0.22,0.24,14.36,19.87,0.723,196.46,35.84,8.79,11.53,0.763,3.96,5.36,0.739,0.67,1.16,0.579,1,0.52,0.82,0,1.55,18.07,1.8,0,0.09,5.08,0.24,0.61,0,0,0,0,13.14,4.26,2.46,13.33,3.59,1.16,0.12,0.37,0.21,0.3,0.97,0.37,2.56,1.67,0,0.37,0.3,0.18,0.03,0.7,0.4,0,0.18,0.09,0.03,0,0.37,0.33,0.09,0.15,0.12,0.03,0.24,0.125,0.21,12.41,3.8,0.306,0.37,3.47,8.58,0.61,0.24,0,0.33,0.7,1.19,0,31.58,1.49,2.34,13.48,17.4,7.33,29.6,0.91,1.67,0.545,0.94,0.03,17.89,81.75,47.92,2.86,0.97,1.06,2.74,0.97,45,22.85,0.508,8.31,0,0.94,1.1,0.43,0.03,0,0,3.32,1.98,1.52,0.565,150
658,Foward,28,Harry Kane,0.47,0.16,0.42,0.05,0.05,0.05,0,0.53,0.49,0.16,0.65,3.59,1.36,0.38,0.12,0.31,17.4,0.42,0.14,-0.06,-0.07,19.55,28.12,0.695,350.8,90.55,9.99,12.55,0.795,6.19,8.75,0.707,2.67,4.59,0.583,1.1,2.2,1.07,0.13,2.73,26.55,1.57,0.18,0.13,7.42,1.34,1.15,0,0,0,0,15.91,6.29,5.92,3.12,21.1,1.31,0.34,0.37,0.26,0.45,1.52,0.31,2.88,1.81,0.03,0.42,0.26,0.29,0.08,0.42,0.24,0,0.1,0.05,0.03,0,0.52,0.29,0,0.37,0.16,0.1,0.55,0.19,0.45,11.11,2.75,0.248,0.29,5.08,5.74,0.68,0.37,0,0.37,0.89,0.97,0,40.49,1.21,3.51,21.28,18.45,4.85,38.71,1.49,2.54,0.588,1.55,0.18,26.81,134.34,68.19,3.91,1.36,0.73,2.02,1.73,53.26,30.72,0.577,6.47,0,0.89,1.7,0.34,0.03,0,0,4.69,2.62,3.64,0.418,120
732,Foward,26,Jack Grealish,0.1,0.28,0.1,0,0,0.17,0,0.18,0.18,0.33,0.51,1.82,0.7,0.385,0.06,0.15,16.6,0.07,0.1,-0.07,-0.07,39.34,47.83,0.823,624.8,173.19,21.44,24.19,0.886,13.86,15.81,0.876,3.04,5.06,0.6,3.39,2.48,2.86,0.21,5.66,43.92,3.91,1.43,0.14,9.64,0.84,1.99,1.22,0.52,0.24,0.1,38.05,5.13,4.64,3.42,42.17,0.63,0.77,0.35,0.24,0.59,1.61,0.8,5.97,4.75,0.35,0.28,0.17,0.38,0.03,0.59,0.49,0.03,0,0,0.03,0.03,1.05,0.73,0.31,0.52,0.21,0.31,0.8,0.391,0.49,12.81,3.94,0.308,2.93,4.85,5.03,0.98,0.17,0,0.56,1.61,0.21,0.03,59.84,0.91,5.38,25.62,34.84,7.58,56.66,1.68,2.93,0.571,1.78,0,48.04,378.12,241.97,13.72,3.39,3.91,1.71,1.71,59.21,46.15,0.779,7.75,0,1.4,4.12,0.52,0.03,0,0,6.84,0.59,1.4,0.298,100
949,Midfielder,30,Kevin De Bruyne,0.32,0.25,0.32,0,0,0.18,0,0.31,0.31,0.38,0.68,3.27,1.02,0.312,0.1,0.31,19.1,0.35,0.09,0.01,0.01,48.03,62.64,0.767,924.05,243.52,21.62,25.14,0.86,18.17,22.22,0.818,7.5,12.29,0.61,3.03,5.77,2.71,0.28,6.9,56.97,5.67,1.51,0.63,8.1,2.89,2.89,3.63,1.2,1.23,0.25,46.48,6.09,10.07,7.25,53.45,0.95,0.32,0.32,0.53,1.44,2.71,1.06,5.56,3.91,0.81,0.28,0.25,0.14,0.18,0.46,0.39,0,0.04,0.04,0,0,1.16,0.81,0.21,0.56,0.39,0.28,2.04,0.138,1.76,19.58,5.28,0.27,2.25,8.03,9.3,1.2,0.14,0,0.81,1.97,0.35,0,74.82,0.6,5.99,34.86,39.65,4.44,69.05,1.65,2.71,0.61,1.8,0.11,52.11,254.33,157.99,8.56,3.35,1.13,1.69,1.76,66.06,57.36,0.868,7.43,0,1.23,1.62,0.04,0.04,0,0,7.01,0.35,0.88,0.286,100
1270,Foward,29,Mohamed Salah,0.74,0.25,0.66,0.08,0.1,0.02,0,0.62,0.54,0.22,0.76,3.56,1.58,0.445,0.18,0.42,15,0.02,0.15,0.12,0.12,29.77,36.56,0.814,436.01,110.16,18.5,20.68,0.895,9.14,11.36,0.804,1.42,2.51,0.566,1.5,1.17,1.93,0.29,3.68,35.74,0.82,0.02,0.27,6.5,0.41,1.52,0.02,0.02,0,0,29.38,3.81,3.37,28.4,6.79,0.64,0.19,0.25,0.08,0.31,1.5,0.45,3.31,2.45,0,0.39,0.33,0.1,0.04,0.6,0.37,0,0.16,0.04,0.02,0,0.56,0.23,0.14,0.19,0.23,0.08,0.49,0.167,0.41,15.31,4.3,0.281,1.58,4.59,9.14,0.49,0.04,0,0.37,0.93,0.31,0.02,50.25,0.27,2.04,17.35,33.68,9.3,49.32,1.58,3.19,0.497,1.79,0.08,38.33,171.75,99.77,6.36,1.4,1.95,3.15,2.59,62.02,41.17,0.664,11.6,0,0.56,0.8,0.39,0.02,0,0,5.47,0.49,1.44,0.255,100
1321,Foward,29,Neymar,0.33,0.25,0.15,0.18,0.22,0.36,0.04,0.5,0.33,0.37,0.7,2.76,0.8,0.289,0.05,0.18,18.2,0.44,0.12,-0.17,-0.19,46.13,59.33,0.777,768.96,252.22,24.31,28.78,0.845,15.68,19.16,0.818,4.94,8.24,0.599,2.76,5.48,2.9,0.11,7.37,54.15,5.19,1.78,0.62,11.36,1.52,1.67,2.54,1.16,0.25,0.15,43.55,7.48,8.31,7.84,49.17,0.91,0.65,0.54,0.62,0.8,3.63,0.36,5.92,3.81,0.65,0.47,0.29,0.62,0.07,0.54,0.4,0.07,0,0,0.07,0,1.23,0.91,0.36,0.44,0.44,0.44,2.1,0.207,1.67,16.98,4.39,0.259,3.3,7.08,6.6,0.36,0,0,0.65,1.89,0,0,78.13,0.25,7.4,39.3,39.92,6.57,73.6,4.39,7.91,0.555,4.9,0.58,64.89,353.43,203.55,11.83,3.92,1.45,3.34,4.1,76.97,64.42,0.837,9.58,0.04,1.78,4.43,0.33,0.07,0,0,6.06,0.25,0.94,0.212,100
1569,Foward,28,Romelu Lukaku,0.58,0.25,0.44,0.14,0.14,0.08,0,0.58,0.48,0.24,0.71,2.61,1.11,0.426,0.17,0.4,13.6,0.06,0.19,0,-0.03,14.81,20.73,0.714,204.37,41.87,8.92,11.03,0.809,3.61,5.42,0.667,1.06,1.56,0.679,1.56,0.92,1.08,0.08,1.83,19.28,1.44,0.03,0.25,7.42,0.44,0.75,0,0,0,0,14.09,4.08,2.56,11.53,6.53,1.14,0,0.69,0.17,0.17,1.11,0.39,3.2,2.39,0,0.36,0.28,0.17,0,0.61,0.47,0,0.06,0.03,0.06,0,0.28,0.11,0.03,0.22,0.03,0.06,0.19,0.286,0.14,8.84,2.5,0.283,0.33,3.14,5.36,0.61,0.22,0,0.11,0.39,1.14,0,33.15,1.22,2,14.73,18.34,7.2,31.54,1.22,2.17,0.564,1.33,0.06,22.7,100.48,63.16,3.17,1.11,1.22,2.67,2.06,47.01,25.7,0.547,10.45,0,0.92,1.53,0.56,0.03,0,0,2.86,1.56,2.03,0.434,100
245,Midfielder,27,Bruno Fernandes,0.4,0.4,0.25,0.15,0.17,0.15,0,0.36,0.23,0.34,0.57,2.89,0.9,0.311,0.09,0.28,21,0.34,0.08,0.05,0.02,45.06,60.2,0.748,865.58,234.72,20.96,24.4,0.859,16.06,20,0.803,7.14,12.59,0.567,2.76,4.44,2.6,0.36,5.65,55.05,5.15,1.47,0.54,9.69,3.33,2.66,1.28,0.46,0.5,0.04,39.32,7.56,13.32,4.25,52.98,1.38,0.88,0.38,0.42,1.21,2.47,0.86,4.71,3.58,0.54,0.11,0.21,0.21,0.06,0.67,0.61,0.02,0,0.02,0.02,0,1.59,1.11,0.56,0.63,0.4,0.52,2.47,0.209,1.95,20.65,5.53,0.268,3.43,10.16,7.06,0.88,0.02,0,0.77,2.35,1.03,0.04,71.91,1.55,9.61,31.91,34.76,3.83,66.72,0.73,1.32,0.551,0.8,0.11,45.31,206.95,114.19,5.74,2.16,0.42,1.3,1.42,65.94,54.67,0.829,7.73,0,1.32,1.99,0.08,0.02,0,0,6.49,0.52,1.23,0.297,90
579,Midfielder,24,Frenkie de Jong,0.09,0.14,0.09,0,0,0.25,0.02,0.14,0.14,0.19,0.33,0.46,0.21,0.45,0.2,0.44,11,0,0.33,-0.05,-0.05,67.25,73.16,0.919,1144.48,296.34,30.97,33.1,0.936,29.07,30.72,0.946,5.52,6.53,0.846,1.56,6.21,0.85,0.07,5.09,72.04,1.12,0.87,0.25,10.24,0.87,0.69,0.02,0.02,0,0,62.99,5.89,4.28,4.67,65.65,1.47,0.21,0.27,0.37,0.44,1.17,0.71,2.63,2.27,0.05,0.07,0.07,0.18,0,0.23,0.18,0,0,0.02,0.02,0,1.26,0.76,0.5,0.53,0.23,0.34,1.12,0.306,0.78,10.58,3.48,0.329,2.75,5.18,2.66,0.8,0.09,0,1.12,2.38,0.85,0,80.93,2.59,17.91,49.34,20.98,3,79.99,1.51,2.04,0.742,1.51,0.07,61.25,368.45,210.28,8.18,2.77,0.34,0.76,1.08,72.57,66.15,0.912,4.17,0.02,0.89,1.81,0.23,0.02,0,0,8.36,1.21,0.69,0.639,90
