,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
739,Foward,21,Jadon Sancho,0.38,0.34,0.34,0.04,0.04,0,0,0.29,0.26,0.25,0.51,1.69,0.64,0.378,0.2,0.53,16.1,0.04,0.15,0.09,0.08,45.47,56.45,0.805,689.65,189.97,26.7,30.31,0.881,14.93,17.86,0.836,2.86,5.45,0.524,2.75,2.03,2.71,0.23,5.11,52.5,3.95,0.68,0.19,8.84,0.9,2.03,2.22,0.94,0.87,0.08,44.61,6.13,5.72,5.75,48.1,1.35,1.05,0.08,0.19,0.83,2.78,1.62,4.96,3.54,0.75,0.45,0.11,0.08,0.04,0.83,0.6,0.04,0.08,0.04,0.08,0,0.94,0.53,0.34,0.3,0.3,0.49,1.32,0.371,0.83,12.9,3.69,0.286,2.78,5.27,4.85,1.69,0.08,0,0.83,1.77,0.49,0.04,69.31,1.02,7.41,28.36,40.36,5.6,65.37,3.16,5.72,0.553,3.35,0.71,54.12,306.56,188.16,10.15,3.61,2.18,2.37,1.84,66.08,53.97,0.817,7.18,0,0.19,0.75,0.3,0,0,0,6.51,0.11,0.87,0.115,90
891,Midfielder,26,Joshua Kimmich,0.16,0.27,0.16,0,0,0.11,0,0.12,0.12,0.25,0.37,1.41,0.53,0.377,0.11,0.3,21.4,0.05,0.08,0.04,0.04,73.1,87.16,0.839,1543.45,477.51,26.53,28.97,0.916,31.62,35.15,0.9,13.85,21.11,0.656,2.73,9.26,2.33,0.29,9.6,76.31,10.85,4.24,0.32,12.36,5.38,1.49,5.65,3.02,1.88,0.24,60.21,8.62,18.33,15.28,67.72,2.39,0.9,0.34,0.53,0.9,2.33,1.22,4.67,2.73,1.67,0.05,0.11,0.08,0.03,0.69,0.4,0.29,0,0,0,0,1.64,1.33,0.64,0.74,0.27,0.56,2.47,0.226,1.91,18.54,5.73,0.309,4.99,9.84,3.71,1.38,0.16,0,2.12,3.77,1.17,0.03,96.9,3.18,20.11,54.83,29.47,1.54,86.79,0.77,1.14,0.674,0.77,0.03,63.18,392.36,186.02,7.03,1.91,0.24,0.85,0.72,72.52,67.96,0.937,2.57,0,0.9,1.75,0,0,0,0,10.74,0.69,0.72,0.491,90
1479,Foward,27,Raheem Sterling,0.36,0.24,0.36,0,0.03,0.09,0,0.48,0.46,0.18,0.64,2.58,0.99,0.384,0.14,0.36,13.8,0.06,0.18,-0.12,-0.1,33.54,39.5,0.849,465.76,91.47,21.85,23.98,0.911,9.29,10.55,0.881,1.26,1.86,0.677,1.56,1.02,1.59,0.18,2.76,38.81,0.69,0.21,0.09,7.4,0.48,1.47,0.12,0.03,0.03,0,34.71,2.37,2.43,3.75,34.95,0.39,0.12,0.15,0.06,0.3,1.29,0.54,3.6,2.55,0.03,0.57,0.24,0.21,0,0.39,0.3,0,0.06,0.03,0,0,0.84,0.66,0.15,0.42,0.27,0.3,0.9,0.333,0.6,11.39,3.03,0.266,1.35,5.51,4.53,0.57,0.03,0,0.51,1.35,0.09,0,52.15,0.09,2.52,19.78,33.42,9.17,51.52,2.31,4.35,0.531,2.43,0.09,44.81,222.5,142.15,8.54,1.98,2.34,2.19,2.7,58.62,44.57,0.76,9.83,0,1.38,1.95,0.42,0.03,0,0,4.14,0.21,0.99,0.175,90
1131,Foward,24,Marcus Rashford,0.38,0.2,0.38,0,0,0.12,0,0.29,0.29,0.09,0.37,2.52,1.11,0.442,0.15,0.34,19.6,0.2,0.11,0.09,0.09,30.51,38.41,0.794,492.72,92.69,16.66,19.5,0.854,10.16,12.41,0.818,2.84,4.27,0.664,1.08,1.26,1.52,0.2,2.84,37.74,0.67,0.09,0.06,5.97,0.91,1.61,0,0,0,0,30.33,4.51,3.57,2.96,33.41,0.73,0.56,0.23,0.26,0.56,1.79,0.97,3.1,2.14,0,0.38,0.23,0.35,0,0.53,0.41,0,0.06,0.03,0.03,0,0.79,0.38,0.18,0.32,0.29,0.38,0.94,0.406,0.56,11.97,2.87,0.24,1.26,5.15,5.56,1.11,0.15,0,0.32,1.11,0.32,0.03,51.5,0.7,4.19,20,31.21,5.74,50.71,2.66,5.3,0.503,2.99,0.64,39.53,186.12,117.46,6.35,2.02,1.79,1.99,2.2,60.14,42.75,0.711,8.87,0,0.7,1.7,1.05,0.03,0,0,4.8,0.76,1.17,0.394,85
1596,Foward,29,Sadio ManÃ©,0.41,0.18,0.41,0,0,0.09,0,0.48,0.48,0.15,0.63,2.83,0.98,0.347,0.15,0.42,12.2,0,0.17,-0.07,-0.07,24.1,32.4,0.744,396.1,82.99,12.82,15.65,0.819,8.03,10.63,0.755,2.53,3.67,0.689,1.39,1.51,1.8,0.23,3.19,31.99,0.41,0.11,0.14,6.25,0.84,2.08,0.05,0,0,0,23.3,5.52,3.58,8.53,21.77,0.75,0.25,0.57,0.21,0.59,1.76,1.23,3.26,2.51,0.02,0.16,0.3,0.25,0.02,0.37,0.25,0,0,0.11,0,0,1.19,0.66,0.18,0.5,0.5,0.18,0.68,0.267,0.5,13.78,4.59,0.333,1.85,5.36,6.57,1.32,0.09,0,0.5,1.69,0.3,0,48.65,0.57,3.81,19.72,29.05,8.31,48.29,2.17,4.02,0.54,2.28,0.21,37.08,207.77,112.45,6.62,1.96,1.8,3.29,2.67,61.45,38.63,0.629,11.73,0,1.69,2.15,0.82,0,0,0,5.16,0.94,2.46,0.275,85
1691,Foward,29,Son Heung-min,0.36,0.23,0.34,0.03,0.03,0,0,0.29,0.27,0.23,0.5,2.14,0.98,0.458,0.16,0.34,17.4,0.05,0.12,0.07,0.07,27.79,36.51,0.761,441.15,91.29,15.71,17.8,0.883,8.36,10.19,0.82,2.71,6.63,0.409,2.09,0.72,0.93,0.08,1.73,31.14,5.37,1.29,0.08,6.24,1.5,1.83,3.54,1.42,1.6,0.26,24.77,4.75,6.99,4.98,29.47,1.06,0.28,0.18,0.1,0.34,1.11,0.83,3.3,2.01,0.85,0.13,0.15,0.13,0.03,0.31,0.21,0.08,0.03,0,0,0,0.72,0.54,0.18,0.41,0.13,0.34,1.88,0.178,1.55,15.17,3.79,0.25,2.32,8.13,4.72,0.88,0.05,0,0.77,1.5,0.1,0,46.45,0.28,3.97,19.74,25.83,4.41,41.16,1.26,2.24,0.563,1.34,0.08,31.79,174.43,87.81,4.83,1.65,1.01,1.52,1.99,49.54,33.1,0.668,7.64,0,0.54,1.6,0.49,0,0,0,4.8,0.62,1.99,0.238,85
996,Foward,24,Lautaro MartÃ­nez,0.55,0.19,0.42,0.14,0.17,0.19,0,0.63,0.52,0.15,0.67,3.99,1.27,0.319,0.1,0.33,14,0,0.13,-0.08,-0.1,14.69,20.09,0.731,235.61,60.93,7.68,9.78,0.785,4.79,6.46,0.742,1.25,1.72,0.726,1.16,1.08,0.91,0.08,1.94,19.65,0.44,0.03,0.08,5.85,0.64,0.72,0,0,0,0,13.77,4.16,2.16,3.19,14.99,0.69,0.19,0.33,0.03,0.17,1.39,0.94,3.13,1.91,0,0.17,0.47,0.39,0.19,0.53,0.3,0,0,0.08,0.11,0.03,0.83,0.67,0.14,0.44,0.25,0.25,0.64,0.391,0.39,16.82,4.27,0.254,1.86,7.15,7.81,1.14,0.19,0,1.3,2.13,0.5,0,34.78,0.53,3.46,14.19,19.23,7.15,34.22,1.11,2.24,0.494,1.22,0.03,23.22,105.02,58.25,2.99,1.03,0.91,2.63,1.3,40.68,24.63,0.606,7.92,0,2.19,2.66,0.33,0.08,0,0,4.88,1.19,1.83,0.394,80
1023,Foward,34,Lionel Messi,0.88,0.31,0.78,0.1,0.18,0.05,0,0.7,0.56,0.33,0.89,5.12,2.09,0.409,0.15,0.37,18.7,0.9,0.11,0.18,0.22,58.71,70.44,0.833,955.58,311.03,33.26,37.21,0.894,18.94,21.58,0.878,5.5,8.66,0.636,2.33,7.31,4.19,0.34,9.66,64.88,5.56,2.14,0.75,12.45,1.58,1.71,2.14,0.72,0.49,0.05,55.97,6.72,7.75,62.58,7,0.34,0.1,0.23,0.65,0.54,2.51,0.31,6.36,3.93,0.59,0.67,0.41,0.7,0.05,0.98,0.62,0.05,0.16,0.08,0.08,0,0.65,0.47,0.1,0.41,0.13,0.21,0.7,0.296,0.49,9.46,2.95,0.311,0.62,4.01,4.83,0.31,0,0,0.28,0.93,0.03,0,84.6,0.08,2.87,42.17,47.98,6.49,79.22,3.75,5.74,0.653,3.98,0.26,70.05,398.66,250.8,14.75,5.56,1.34,1.16,2.79,84.91,73.02,0.86,7.36,0,0.59,3.18,0.23,0.03,0,0,4.21,0.26,0.36,0.417,80
1128,Midfielder,26,Marcos Llorente,0.19,0.23,0.19,0,0,0.16,0,0.08,0.08,0.15,0.22,1.02,0.39,0.386,0.18,0.47,18,0,0.07,0.11,0.11,37.21,45.1,0.825,630.6,161.52,18.87,20.95,0.901,13.57,16.23,0.836,3.68,5.28,0.697,1.25,2.64,0.97,0.44,3.15,41.7,3.4,0.23,0.09,7.04,0.86,2.32,0.02,0,0.02,0,33.5,5.77,5.83,3.54,36.82,1.09,3.03,0.21,0.21,0.72,1.02,1.32,2.25,1.85,0.05,0.12,0.02,0.16,0.05,0.32,0.25,0,0,0,0.05,0.02,2.29,1.48,1.02,0.95,0.32,0.95,1.85,0.513,0.9,16.69,5.63,0.337,4.63,7.94,4.12,1.53,0.21,0,1.04,3.33,1.3,0.02,55.99,1.9,11.32,27.55,20.72,2.82,52.68,0.97,1.51,0.646,1.11,0.02,40.7,209.64,103.96,5.09,1.76,0.65,1.04,1.53,45.15,37.72,0.835,5.6,0,1.67,1.51,0.21,0,0.05,0,7.69,0.63,1.02,0.38,80
1431,Midfielder,19,Pedri,0.08,0.15,0.08,0,0,0.04,0,0.13,0.12,0.15,0.28,0.83,0.26,0.318,0.09,0.29,16.5,0,0.15,-0.06,-0.05,56.62,64.2,0.882,994,179.02,26.4,28.82,0.916,21.65,23.76,0.911,6.71,8.26,0.813,1.36,4.98,1.58,0.08,5.05,62.43,1.77,0.57,0.34,10.83,1.74,0.57,1.06,0.04,0,0.04,55.18,4.75,4.26,10.26,52.73,0.79,0.11,0.11,0.19,0.6,1.74,2,2.98,2.38,0.08,0.15,0.08,0.26,0.04,0.38,0.19,0,0,0.04,0.11,0.04,1.89,1.4,0.49,0.98,0.41,0.87,2.87,0.303,2,25.35,7.02,0.277,5.73,12.18,7.43,2.11,0.11,0,1.13,3.02,0.15,0,75.33,1.02,8.86,38.78,33.19,2.9,73.74,0.94,1.7,0.556,1.02,0.04,57.03,271.96,123.31,6.53,2.38,0.45,1.81,1.21,67.86,60.62,0.893,5.32,0,0.87,2.07,0,0.04,0,0,6.64,0.26,0.38,0.412,80
1447,Foward,21,Phil Foden,0.43,0.3,0.43,0,0,0,0,0.38,0.38,0.31,0.69,2.62,1.29,0.494,0.16,0.33,14.5,0,0.15,0.05,0.05,39.83,48.88,0.815,611.28,128.8,23.79,26.31,0.904,12.59,14.85,0.848,2.62,5.57,0.47,1.89,1.96,1.49,0.27,2.92,45.03,3.84,0.43,0.13,8.02,2.05,2.58,2.82,0.63,1.52,0.17,38.24,4.24,6.4,44.44,2.68,1.16,0.2,0.07,0.23,0.8,1.19,1.03,3.51,2.35,0.46,0.3,0.23,0.1,0.07,0.8,0.56,0,0.07,0.1,0.07,0,1.36,1.09,0.56,0.53,0.27,0.5,1.06,0.469,0.56,18.03,5.4,0.3,2.65,6.43,8.95,1.13,0.1,0,0.86,2.22,0.56,0,61.4,0.76,4.44,22.27,38.11,8.05,57.66,1.49,2.78,0.536,1.62,0.23,44.93,214.56,123.34,7.42,1.66,2.02,1.99,1.79,59.08,47.58,0.805,8.85,0,0.86,1.89,0.4,0,0,0,5.27,0.6,1.76,0.254,80
