,Age,Foward,Midfielder,Defender,Goals,Assists,npxG+xA,Passes Completed,Key Passes,Passes into Final Third,Live-ball passes,Through Balls,Ground passes,Shot-Creating Actions,Goal-Creating Actions,Tackles Won,Dribblers Tackled,% of dribblers tackled,Successful Pressures,Successful Pressure %,Blocks,Dribbles Completed,Progressive Carries,Dispossessed,Ball Recoveries,Market value
250,26,0,1,0,0.08,0.08,0.14,48.8,0.61,5.52,56.06,0.13,41.67,1.5,0.13,1.35,0.37,0.452,4.62,0.287,1.21,0.69,3.77,0.63,8.0,20.0
251,29,0,1,0,0.0,0.0,0.17,40.73,1.05,4.73,49.14,0.0,34.03,2.5,0.26,0.92,0.53,0.33299999999999996,4.73,0.316,1.18,1.31,5.26,0.92,9.99,1.1
252,22,1,0,0,0.15,0.08,0.45,15.54,1.06,0.45,22.75,0.08,14.1,2.2,0.23,0.53,0.23,0.375,3.79,0.239,1.21,1.14,2.96,1.82,5.54,16.0
253,20,0,1,0,0.21,0.18,0.4,29.86,1.5,1.5,35.31,0.05,28.21,3.87,0.44,0.62,0.21,0.21100000000000002,3.77,0.273,1.14,1.58,7.54,2.17,5.5,65.0
254,36,1,0,0,0.51,0.14,0.57,17.09,0.95,0.78,21.89,0.03,17.7,1.94,0.24,0.1,0.03,0.04,2.76,0.254,0.65,0.75,3.64,1.4,3.37,2.8
255,25,0,0,1,0.05,0.0,0.06,58.33,0.16,3.35,64.62,0.03,52.22,0.47,0.0,0.86,0.62,0.414,2.86,0.332,1.46,0.26,4.29,0.26,10.17,45.0
256,24,1,0,0,0.0,0.26,0.19,46.44,1.01,2.04,48.08,0.19,36.02,1.93,0.5,1.14,0.93,0.43799999999999994,4.13,0.359,1.19,0.56,6.96,0.48,7.99,0.6
257,32,0,0,1,0.13,0.0,0.08,22.11,0.21,1.59,27.7,0.0,16.27,0.43,0.04,0.82,0.52,0.414,2.53,0.292,1.59,0.13,0.64,0.04,7.81,0.9
258,27,1,0,0,0.0,0.0,0.25,15.28,0.52,0.39,19.55,0.26,15.15,1.3,0.0,0.52,0.26,0.4,3.76,0.287,1.68,1.17,2.2,1.94,5.57,5.0
259,21,1,0,0,0.15,0.24,0.45,41.04,2.44,1.66,46.81,0.05,37.33,4.79,0.44,0.88,0.49,0.32299999999999995,4.74,0.321,1.66,1.81,11.38,1.42,6.25,32.0
260,26,1,0,0,0.27,0.0,0.26,18.92,0.8,1.41,25.82,0.0,16.18,2.12,0.27,0.53,0.35,0.267,3.54,0.24,1.15,1.41,3.89,1.5,6.54,6.0
261,29,1,0,0,0.44,0.12,0.39,9.94,0.6,0.56,12.75,0.04,8.82,1.88,0.24,0.48,0.12,0.214,3.09,0.22399999999999998,0.68,1.44,2.45,2.12,3.49,22.0
262,22,1,0,0,0.12,0.12,0.48,25.73,1.85,3.0,33.23,0.23,24.81,3.23,0.23,0.23,0.35,0.273,2.88,0.18899999999999997,1.04,1.62,4.96,1.96,4.96,15.0
263,20,0,1,0,0.0,0.31,0.21,21.16,1.07,0.61,27.44,0.31,21.31,1.69,0.31,2.3,0.77,0.33299999999999996,7.51,0.237,1.53,0.77,4.14,3.53,7.51,2.7
264,23,0,1,0,0.07,0.14,0.2,26.89,1.36,3.24,33.23,0.14,23.93,3.07,0.18,0.75,0.5,0.304,4.1,0.226,1.14,0.89,3.78,1.5,6.88,15.0
265,23,1,0,0,0.15,0.22,0.51,28.83,2.01,1.71,33.01,0.07,27.42,4.77,0.45,0.52,0.37,0.161,5.96,0.263,1.19,2.24,7.38,2.09,5.81,8.0
266,28,0,0,1,0.09,0.0,0.07,25.94,0.37,1.38,27.6,0.0,17.17,0.92,0.09,1.11,1.11,0.545,4.15,0.28300000000000003,2.4,1.02,3.69,0.37,7.48,0.8
267,35,1,0,0,0.36,0.07,0.33,11.74,0.5,0.85,16.93,0.07,11.67,1.49,0.28,0.71,0.21,0.33299999999999996,2.7,0.226,0.57,1.0,2.35,1.35,2.7,1.5
268,29,0,0,1,0.0,0.06,0.05,40.19,0.62,2.93,42.68,0.03,28.28,1.09,0.09,1.17,0.56,0.365,4.87,0.354,1.73,1.35,5.08,0.56,7.74,3.0
269,20,0,0,1,0.0,0.0,0.04,35.44,0.2,1.59,41.22,0.4,32.46,0.2,0.0,1.0,0.6,0.5,2.79,0.24100000000000002,1.79,0.2,1.79,0.2,4.78,1.0
270,24,0,1,0,0.36,0.24,0.28,36.47,1.48,3.83,39.09,0.09,30.53,2.38,0.33,0.81,0.42,0.304,3.89,0.27899999999999997,1.33,0.87,4.76,0.93,6.48,40.0
271,26,1,0,0,0.69,0.11,0.77,13.2,0.69,0.34,18.48,0.0,12.17,1.61,0.11,0.23,0.11,0.33299999999999996,4.94,0.307,0.57,1.38,1.61,2.76,4.25,15.0
272,29,0,1,0,0.1,0.14,0.2,52.88,0.84,4.86,60.18,0.1,44.25,1.89,0.37,1.89,0.96,0.382,5.95,0.34600000000000003,2.15,0.47,2.71,0.82,10.5,70.0
273,27,0,0,1,0.0,0.06,0.09,36.13,0.19,2.13,41.94,0.06,29.19,0.88,0.13,0.88,0.63,0.625,2.19,0.39299999999999996,0.94,0.19,0.75,0.06,7.5,3.0
